WINE_ID,WINE_NM,WINE_REGION_NM,WINE_CAT,WINE_PC
1,1000 Stories Bourbon Barrel Aged Gold Rush Red 2016,Other Red Blends from California,Red Wine,17.99
2,1000 Stories Bourbon Barrel Aged Zinfandel 2016,Zinfandel from California,Red Wine,19.0
3,13 Celsius Sauvignon Blanc 2017,"Sauvignon Blanc from Marlborough, New Zealand",White Wine,16.99
4,14 Hands Riesling 2016,Riesling from Washington,White Wine,9.99
5,14 Hands Chardonnay 2015,Chardonnay from Washington,White Wine,9.99
6,14 Hands Cabernet Sauvignon 2016,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,12.0
7,14 Hands Moscato 2015,"Muscat from Columbia Valley, Washington",White Wine,8.99
8,14 Hands Sauvignon Blanc 2015,Sauvignon Blanc from Washington,White Wine,11.99
9,14 Hands Hot to Trot White Blend 2016,Other White Blends from Washington,White Wine,12.0
10,14 Hands Rose 2017,Rosé from Washington,Pink and Rosé,11.99
11,14 Hands Run Wild Juicy Red Blend 2016,"Rhone Red Blends from Columbia Valley, Washington",Red Wine,9.99
12,14 Hands Limited Release Kentucky Derby Red Blend 2014,"Other Red Blends from Columbia Valley, Washington",Red Wine,12.0
13,14 Hands Brut,"Non-Vintage Sparkling Wine from Columbia Valley, Washington",Sparkling & Champagne,13.99
14,14 Hands Merlot 2015,"Merlot from Columbia Valley, Washington",Red Wine,9.99
15,14 Hands Pinot Grigio 2016,Pinot Gris/Grigio from Washington,White Wine,11.99
16,14 Hands Stampede Red Blend 2015,"Other Red Blends from Columbia Valley, Washington",Red Wine,10.99
17,1849 Au Jus Chardonnay 2017,"Chardonnay from Monterey, Central Coast, California",White Wine,25.0
18,1849 Anonymous Napa Valley Red 2015,"Other Red Blends from Napa Valley, California",Red Wine,40.0
19,1849 Iris Pinot Noir 2016,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,29.99
20,1849 Declaration Napa Valley Cabernet Sauvignon 2014,"Cabernet Sauvignon from Napa Valley, California",Red Wine,80.0
21,1849 Triumph Red Blend 2015,"Other Red Blends from Sonoma County, California",Red Wine,45.0
22,19 Crimes The Banished Dark Red 2017,Other Red Blends from Australia,Red Wine,10.99
23,19 Crimes Cabernet Sauvignon 2018,"Cabernet Sauvignon from Barossa, Australia",Red Wine,10.99
24,19 Crimes The Warden 2016,"Syrah/Shiraz from Barossa, Australia",Red Wine,19.99
25,19 Crimes The Punishment Pinot Noir 2017,Pinot Noir from Australia,Red Wine,10.99
26,19 Crimes Hard Chard 2017,Chardonnay from Australia,White Wine,11.99
27,19 Crimes The Uprising 2017,"Other Red Blends from Barossa, Australia",Red Wine,8.99
28,19 Crimes Red Blend 2017,"Other Red Blends from Barossa, Australia",Red Wine,10.99
29,3 Ball Zinfandel 2015,Zinfandel from California,Red Wine,11.99
30,3 Girls Pure Red Blend 2016,"Other Red Blends from Lodi, California",Red Wine,12.99
31,3 Girls Pinot Noir 2016,Pinot Noir from California,Red Wine,14.99
32,3 Girls Cabernet Sauvignon 2016,"Cabernet Sauvignon from Lodi, California",Red Wine,16.99
33,3 Rings Shiraz 2015,"Syrah/Shiraz from Barossa Valley, Barossa, Australia",Red Wine,20.0
34,689 Cellars Killer Drop Red Blend 2015,Other Red Blends from California,Red Wine,29.99
35,7 Deadly Zins Zinfandel 2016,"Zinfandel from Lodi, California",Red Wine,17.99
36,7 Deadly Zins Zinfandel (375ml Half-Bottle) 2016,"Zinfandel from Lodi, California",Red Wine,10.99
37,7 Deadly Red 2016,"Other Red Blends from Lodi, California",Red Wine,17.99
38,7 Moons Red Blend 2016,Other Red Blends from California,Red Wine,12.99
39,99 West Pinot Noir 2014,"Pinot Noir from Willamette Valley, Oregon",Red Wine,18.99
40,A by Acacia Pinot Noir 2016,Pinot Noir from California,Red Wine,15.99
41,A by Acacia Unoaked Chardonnay 2016,Chardonnay from California,White Wine,14.0
42,A by Acacia Pinot Noir 2015,Pinot Noir from California,Red Wine,14.99
43,A by Acacia California Chardonnay 2015,Chardonnay from California,White Wine,10.99
44,A by Acacia Rose of Pinot Noir 2016,"Rosé from Napa Valley, California",Pink and Rosé,14.99
45,A by Acacia California Chardonnay 2016,Chardonnay from California,White Wine,11.99
46,A Mano Negroamaro 2015,"Negroamaro from Puglia, Italy",Red Wine,12.99
47,A Mano Bianco 2015,"Other White Blends from Puglia, Italy",White Wine,10.99
48,A Portela Mencia 2014,"Mencia from Valdeorras, Spain",Red Wine,16.99
49,A to Z Riesling 2018,"Riesling from Rogue Valley, Oregon",White Wine,17.99
50,A to Z Rose Bubbles,Rosé Sparkling Wine from Oregon,Sparkling & Champagne,18.0
51,A to Z Pinot Noir 2014,Pinot Noir from Oregon,Red Wine,20.0
52,A to Z Pinot Noir (375ML half-bottle) 2017,Pinot Noir from Oregon,Red Wine,12.99
53,A to Z Pinot Gris 2017,Pinot Gris/Grigio from Oregon,White Wine,15.99
54,A to Z Chardonnay 2017,Chardonnay from Oregon,White Wine,16.99
55,A to Z Rose 2017,Rosé from Oregon,Pink and Rosé,16.99
56,A to Z Riesling 2017,"Riesling from Rogue Valley, Oregon",White Wine,15.0
57,A Tribute to Grace Provisor Vineyard Grenache 2014,"Grenache from Dry Creek Valley, Sonoma County, California",Red Wine,57.99
58,A Tribute to Grace Santa Barbara County Grenache 2016,"Grenache from Santa Barbara, Central Coast, California",Red Wine,32.99
59,A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013,"Grenache from Amador, Sierra Foothills, California",Red Wine,76.99
60,A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2018,"Rosé from Santa Barbara, Central Coast, California",Pink and Rosé,25.99
61,A Tribute to Grace Vie Caprice Vineyard Grenache 2015,"Grenache from Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,47.99
62,A Tribute to Grace Santa Barbara County Grenache 2017,"Grenache from Santa Barbara, Central Coast, California",Red Wine,29.99
63,A.J. Adam Dhron Hofberg Kabinett Riesling 2017,"Riesling from Mosel, Germany",White Wine,29.99
64,A.P. Vin Ridgetop Vineyard Pinot Noir 2016,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,57.99
65,A.P. Vin Rosella's Vineyard Pinot Noir 2016,"Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,56.0
66,A.P. Vin Clos Pepe Vineyard Pinot Noir 2017,"Pinot Noir from Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,49.99
67,A.P. Vin Sun Chase Vineyard Pinot Noir 2017,"Pinot Noir from Petaluma Gap, Sonoma Coast, Sonoma County, California",Red Wine,49.99
68,A.P. Vin Garys' Vineyard Pinot Noir 2016,"Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,59.99
69,A.P. Vin Rosella's Vineyard Pinot Noir 2017,"Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,49.99
70,A.P. Vin Clos Pepe Vineyard Pinot Noir 2016,"Pinot Noir from Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,55.99
71,Aalto 2015,"Tempranillo from Ribera del Duero, Spain",Red Wine,48.99
72,Abacela Albarino 2017,"Albarino from Umpqua Valley, Oregon",White Wine,20.99
73,Abacela Fiesta Tempranillo 2015,"Tempranillo from Umpqua Valley, Oregon",Red Wine,24.99
74,Abacela Barrel Select Estate Tempranillo 2014,"Tempranillo from Umpqua Valley, Oregon",Red Wine,34.99
75,Abadia Retuerta Pago Negralada Tempranillo 2013,Tempranillo from Spain,Red Wine,119.99
76,Abadia Retuerta Le Domaine Blanco 2016,Other White Blends from Spain,White Wine,34.99
77,Abadia Retuerta Seleccion Especial 2014,Other Red Blends from Spain,Red Wine,29.99
78,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2013,Cabernet Sauvignon from Spain,Red Wine,109.99
79,Abbazia di Novacella Pinot Nero 2017,"Pinot Noir from Alto Adige, Trentino-Alto Adige, Italy",Red Wine,21.99
80,Abbazia di Novacella Gruner Veltliner 2016,"Gruner Veltliner from Alto Adige, Trentino-Alto Adige, Italy",White Wine,20.99
81,Abbazia di Novacella Pinot Grigio 2016,"Pinot Gris/Grigio from Trentino-Alto Adige, Italy",White Wine,19.99
82,Abbazia di Novacella Gruner Veltliner 2017,"Gruner Veltliner from Alto Adige, Trentino-Alto Adige, Italy",White Wine,19.99
83,Abbazia di Novacella Kerner 2017,"Other White Wine from Trentino-Alto Adige, Italy",White Wine,18.99
84,Abbazia di Novacella Praepositus Kerner 2016,"Other White Wine from Trentino-Alto Adige, Italy",White Wine,31.99
85,Abbona Bricco Barone Nebbiolo 2013,"Nebbiolo from Alba, Piedmont, Italy",Red Wine,29.99
86,Abeja Cabernet Sauvignon 2014,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,52.99
87,Abeja Chardonnay 2015,Chardonnay from Washington,White Wine,43.99
88,Abeja Merlot 2014,"Merlot from Columbia Valley, Washington",Red Wine,41.99
89,Abreu Vineyard Cappella 2013,"Bordeaux Red Blends from Napa Valley, California",Red Wine,529.97
90,Abreu Vineyard Madrona Ranch 2007,"Bordeaux Red Blends from Napa Valley, California",Red Wine,479.98
91,Abreu Vineyard Madrona Ranch 2004,"Bordeaux Red Blends from Napa Valley, California",Red Wine,459.97
92,Abreu Vineyard Madrona Ranch 2013,"Bordeaux Red Blends from Napa Valley, California",Red Wine,749.97
93,Acacia Carneros Pinot Noir 2016,"Pinot Noir from Carneros, California",Red Wine,21.99
94,Acacia Carneros Chardonnay 2016,"Chardonnay from Carneros, California",White Wine,18.99
95,Accordini Igino Le Bessole Amarone della Valpolicella 2013,"Other Red Blends from Valpolicella, Veneto, Italy",Red Wine,64.99
96,Accordini Igino Ripasso Valpolicella 2010,"Other Red Blends from Valpolicella, Veneto, Italy",Red Wine,22.0
97,Achaval-Ferrer Mendoza Cabernet Sauvignon 2016,"Cabernet Sauvignon from Mendoza, Argentina",Red Wine,28.99
98,Achaval-Ferrer Mendoza Malbec 2017,"Malbec from Mendoza, Argentina",Red Wine,28.99
99,Achaval-Ferrer Quimera 2014,"Bordeaux Red Blends from Mendoza, Argentina",Red Wine,36.99
100,Acinum Valpolicella Ripasso 2015,"Other Red Blends from Valpolicella, Veneto, Italy",Red Wine,22.99
101,Acinum Valpolicella 2016,"Other Red Blends from Valpolicella, Veneto, Italy",Red Wine,15.99
102,Acinum Soave Classico 2016,"Garganega from Soave, Veneto, Italy",White Wine,12.99
103,Acinum Extra Dry Prosecco,"Non-Vintage Sparkling Wine from Prosecco, Italy",Sparkling & Champagne,12.99
104,Acre Cabernet Sauvignon 2013,"Cabernet Sauvignon from Napa Valley, California",Red Wine,41.99
105,Acrobat Rose of Pinot Noir 2017,Rosé from Oregon,Pink and Rosé,14.99
106,Acrobat Pinot Gris 2017,Pinot Gris/Grigio from Oregon,White Wine,14.99
107,Acrobat Pinot Noir 2016,Pinot Noir from Oregon,Red Wine,19.99
108,Acumen Mountainside Sauvignon Blanc 2017,"Sauvignon Blanc from Napa Valley, California",White Wine,32.99
109,Acumen Mountainside Cabernet Sauvignon 2015,"Cabernet Sauvignon from Napa Valley, California",Red Wine,64.99
110,Acumen Mountainside Red 2014,"Bordeaux Red Blends from Napa Valley, California",Red Wine,45.99
111,Adami Garbel Brut Prosecco,"Non-Vintage Sparkling Wine from Prosecco, Italy",Sparkling & Champagne,16.99
112,Adami Bosco di Gica Prosecco Superiore,"Non-Vintage Sparkling Wine from Valdobbiadene, Prosecco, Italy",Sparkling & Champagne,18.99
113,Adaptation by Odette Cabernet Sauvignon 2015,"Cabernet Sauvignon from Napa Valley, California",Red Wine,58.99
114,Adaptation by Odette Cabernet Sauvignon 2016,"Cabernet Sauvignon from Napa Valley, California",Red Wine,57.99
115,Adelaida Estate Pinot Noir 2016,"Pinot Noir from Adelaida District, Paso Robles, Central Coast, California",Red Wine,29.99
116,Adelaida Zinfandel 2016,"Zinfandel from Adelaida District, Paso Robles, Central Coast, California",Red Wine,29.99
117,Adelaida Paso Robles Cabernet Sauvignon 2015,"Cabernet Sauvignon from Paso Robles, Central Coast, California",Red Wine,36.99
118,Adelaida Anna's Red 2015,"Rhone Red Blends from Paso Robles, Central Coast, California",Red Wine,35.99
119,Adelaida Keeper Red 2015,"Rhone Red Blends from Paso Robles, Central Coast, California",Red Wine,25.99
120,Adelaida End Post Cabernet Sauvignon 2016,"Cabernet Sauvignon from Paso Robles, Central Coast, California",Red Wine,20.99
121,Adelsheim Pinot Noir 2017,"Pinot Noir from Willamette Valley, Oregon",Red Wine,30.0
122,Adelsheim Breaking Ground Pinot Noir 2015,"Pinot Noir from Willamette Valley, Oregon",Red Wine,46.99
123,Adelsheim Staking Claim Chardonnay 2015,"Chardonnay from Chehalem Mountains, Willamette Valley, Oregon",White Wine,38.99
124,Adelsheim Pinot Gris 2017,"Pinot Gris/Grigio from Willamette Valley, Oregon",White Wine,19.99
125,Adelsheim Willamette Valley Chardonnay 2016,"Chardonnay from Willamette Valley, Oregon",White Wine,25.0
126,Adelsheim Pinot Noir (375ML half-bottle) 2016,"Pinot Noir from Willamette Valley, Oregon",Red Wine,18.99
127,Adelsheim Bryan Creek Vineyard Pinot Blanc 2016,"Pinot Blanc from Chehalem Mountains, Willamette Valley, Oregon",White Wine,25.99
128,Adelsheim Elizabeth's Reserve Pinot Noir 2014,"Pinot Noir from Willamette Valley, Oregon",Red Wine,51.99
129,Adorada Rose 2016,Rosé from California,Pink and Rosé,22.99
130,Adorada Pinot Gris 2016,Pinot Gris/Grigio from California,White Wine,22.99
131,Adriano Marco e Vittorio Basarin Barbaresco 2014,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,29.98
132,Adzic Grasevina 2017,Other White Wine from Croatia,White Wine,21.99
133,AERENA Rose 2017,"Rosé from San Francisco Bay, Central Coast, California",Pink and Rosé,19.99
134,AERENA Chardonnay 2017,"Chardonnay from Sonoma County, California",White Wine,24.0
135,AERENA Cabernet Sauvignon 2016,"Cabernet Sauvignon from Red Hills, Lake County, North Coast, California",Red Wine,23.99
136,Agharta Farella Cabernet Sauvignon 2013,"Cabernet Sauvignon from Carneros, California",Red Wine,85.0
137,Agnitio Sun Chase Vineyard Chardonnay 2014,"Chardonnay from Petaluma Gap, Sonoma Coast, Sonoma County, California",White Wine,50.0
138,Agnitio Sauvignon Blanc 2014,"Sauvignon Blanc from Napa Valley, California",White Wine,31.99
139,Agricola de Borja Vina Borgia 2017,Grenache from Spain,Red Wine,7.99
140,Agricola Punica Samas 2017,"Other White Blends from Sardinia, Italy",White Wine,23.99
141,Agricola Punica Barrua Isola dei Nuraghi 2014,"Other Red Blends from Sardinia, Italy",Red Wine,54.0
142,Aia Vecchia Lagone Toscana 2015,"Bordeaux Red Blends from Tuscany, Italy",Red Wine,14.99
143,Aia Vecchia Vermentino 2017,"Vermentino from Tuscany, Italy",White Wine,13.99
144,Aila by Santa Ema Sauvignon Blanc 2015,"Sauvignon Blanc from Leyda Valley, San Antonio Valley, Chile",White Wine,15.0
145,Aila by Santa Ema Pinot Noir 2014,"Pinot Noir from Leyda Valley, San Antonio Valley, Chile",Red Wine,16.99
146,Aix Rose 2017,"Rosé from Coteaux d'Aix-en-Provence, Provence, France",Pink and Rosé,0.0
147,Alain Chavy Bourgogne Blanc 2016,"Chardonnay from Burgundy, France",White Wine,25.99
